agency_id,agency_business_entity_name,client_name
137,Health Communincations Australia Pty Limited,Pharmaxis Ltd
137,Health Communincations Australia Pty Limited,Takeda Pharmaceuticals Australia
137,Health Communincations Australia Pty Limited,Merck Serono Australia
124,Helen & Mike O'Brien JP,Australian Pensioners & Superannuants League WA Inc
124,Helen & Mike O'Brien JP,Parins
124,Helen & Mike O'Brien JP,ROSS Steven Geofrey
8,Hill and Knowlton,Coca Cola South Pacific
8,Hill and Knowlton,LEO Pharma
8,Hill and Knowlton,Intuit
19,HTT Trust,The Institute of Certified Management Accountants
19,HTT Trust,Smorgon Fuels
19,HTT Trust,The Victor Smorgon Group
19,HTT Trust,Southern Capital Corporation
674,Ian Peregrine Desborough,Bunge Agribusiness Australia  
541,Innovative Electronics Pty Ltd,ESA/Inmarsat
541,Innovative Electronics Pty Ltd,CSIRO
170,Intech Strategies P/L,Elbit Systems Ltd
170,Intech Strategies P/L,Elbit Systems of Australia P/L
20,InterCapital Group Pty Ltd,Habitat For Humanity
20,InterCapital Group Pty Ltd,St Vincent's Medical Research Institute
20,InterCapital Group Pty Ltd,BRP Australia
20,InterCapital Group Pty Ltd,Polaris Sales Australia Pty Ltd
20,InterCapital Group Pty Ltd,Chrysler Australia
20,InterCapital Group Pty Ltd,Tyre Stewardship Australia
20,InterCapital Group Pty Ltd,BMW Australia
38,Intercorp Pty Ltd,Israel Aerospace Industries Limited
38,Intercorp Pty Ltd,Plasan
103,Ivydale Nominees Pty Ltd,Coogee Chemicals
623,Jack Knowles Consulting Pty Ltd ATF Knowles Family Trust,National Farmers' Federation Ltd
586,Jenkins Engineering defence Systems Pty Ltd,Exelis Inc
675,Jennifer Spark,Nan Hai Culture & Media (Australia) Pty Ltd 
319,Jo Scard Pty Ltd,Kellogg (Australia)
319,Jo Scard Pty Ltd,Homebirth Australia
319,Jo Scard Pty Ltd,Maternity Coalition
319,Jo Scard Pty Ltd,National Centre of Indigenous Excellence
319,Jo Scard Pty Ltd,Jodi Lee Foundation
319,Jo Scard Pty Ltd,Plan International (Australia)
319,Jo Scard Pty Ltd,ACT For Kids
319,Jo Scard Pty Ltd,Australian Indigenous Leadership Centre
319,Jo Scard Pty Ltd,Girl Guides Australia
319,Jo Scard Pty Ltd,SmartStart for Kids
319,Jo Scard Pty Ltd,The Australian Charities Fund Operations Limited
319,Jo Scard Pty Ltd,Australian Drug Foundation
319,Jo Scard Pty Ltd,Scouts Australia
319,Jo Scard Pty Ltd,QT Hotels and Resorts
319,Jo Scard Pty Ltd,Lifestart Foundation
319,Jo Scard Pty Ltd,Quintessential Equities 023 Pty Ltd
319,Jo Scard Pty Ltd,Apis Group Pty Ltd
319,Jo Scard Pty Ltd,Relationships Australia
319,Jo Scard Pty Ltd,McGrath Foundation
319,Jo Scard Pty Ltd,Community Broadcasting Association of Australia
319,Jo Scard Pty Ltd,Congress of Aboriginal & Torres Strait Islander Nurses & Midwives
319,Jo Scard Pty Ltd,The Royal Australian and New Zealand College of Radiologists
319,Jo Scard Pty Ltd,Gundaroo Community Association
319,Jo Scard Pty Ltd,Indigenous Community Volunteers Limited
319,Jo Scard Pty Ltd,Marrickville Community Training Centre Inc
319,Jo Scard Pty Ltd,Consumers Health Forum of Australia ABN 82 146 988 927
319,Jo Scard Pty Ltd,Lyme Disease Association of Australia ABN 46 417 706 647
275,Jody Fassina ATF JAI Family Trust,iSelect Health Pty Ltd
275,Jody Fassina ATF JAI Family Trust,Wyndham Vacation Resorts
56,John C Blackwell,Autodesk
56,John C Blackwell,Ricoh
56,John C Blackwell,Sharp
56,John C Blackwell,Inmarsat
56,John C Blackwell,Datapod (Australia) Pty Ltd
56,John C Blackwell,Emantra
56,John C Blackwell,Eutelsat Asia Pte Ltd
56,John C Blackwell,RooCom Consulting
101,John Connolly & Partners Pty Limited,ANZ Limited
101,John Connolly & Partners Pty Limited,BHP Billiton Ltd
101,John Connolly & Partners Pty Limited,Sydney Theatre Company
101,John Connolly & Partners Pty Limited,ISS Facilities Services Australia Limited
241,John Cook,Learning and Life Centre
241,John Cook,North Melbourne Football Club
241,John Cook,Casino Management International
78,John O'Connor and Associates Pty Ltd,ROH Automotive
78,John O'Connor and Associates Pty Ltd,CSBP Limited
78,John O'Connor and Associates Pty Ltd,Orica Australia Pty Ltd
78,John O'Connor and Associates Pty Ltd,Sunbeam Foods Pty Ltd
78,John O'Connor and Associates Pty Ltd,Qenos Pty Ltd
78,John O'Connor and Associates Pty Ltd,BlueScope Steel Limited
78,John O'Connor and Associates Pty Ltd,Nufarm Limited
78,John O'Connor and Associates Pty Ltd,Australian Vinyls Corporation Limited
78,John O'Connor and Associates Pty Ltd,H J Heinz Australia Limited
78,John O'Connor and Associates Pty Ltd,Arrium Limited
78,John O'Connor and Associates Pty Ltd,Norske Skog Australasia Pty Ltd
78,John O'Connor and Associates Pty Ltd,Dried Fruits Australia
78,John O'Connor and Associates Pty Ltd,Simcoa Operations Pty Ltd
78,John O'Connor and Associates Pty Ltd,Bisalloy Steel Group Limited
78,John O'Connor and Associates Pty Ltd,Cockburn Cement Limited
255,John Scott Barker,Stornoway
255,John Scott Barker,Font PR
255,John Scott Barker,Marsh Pty Ltd
255,John Scott Barker,Cuthbertson Bros
255,John Scott Barker,St Anns Homes Inc
255,John Scott Barker,Veolia Environmental Services
255,John Scott Barker,Roberts Ltd
255,John Scott Barker,Winemaking Tasmania Pty Ltd
255,John Scott Barker,Houstons Farm 
264,"John, Susan Maree",Bioventus Australia Pty Ltd
410,Justine Caines,American Express International Incorporated
410,Justine Caines,Leading Age Services Australia
576,KENDAL AND ASSOCIATES,Arun Kumar Pallathadka 
576,KENDAL AND ASSOCIATES,Dr Harikumar Pallathadka
518,Kevin James Carroll,Aero International Inc. VA USA
621,KnowMinister.com Pty Ltd,CSR Limited
621,KnowMinister.com Pty Ltd,Wilmar Sugar Australia Pty Ltd
621,KnowMinister.com Pty Ltd,Sugar Australia Pty Ltd
